mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
face-up-draw,participant,200,100,51,0.14,28,'-0.17737556561085976,'-0.37505407711795735,0.020302945896237795,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-gy-bottom,participant,200,100,14,0.025,5,'-0.10261780104712037,'-0.5378395526030287,0.332603950508788,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-recycle,participant,200,100,11,0.05,10,'-0.2911467617349971,'-0.5720468156621636,'-0.010246707807830546,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
five-refine,participant,200,100,20,0.03,6,0.1719298245614035,'-0.21190639524738447,0.5557660443701915,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-4-♣,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-4-♥,participant,200,100,2,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-7-♦,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-A-♥,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-K-♠,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-Q-♣,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-guess-Q-♥,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♠,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♣,participant,200,100,2,0.01,2,'-0.5051546391752577,'-0.5755095068415012,'-0.4347997715090143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
four-row-clear-er-♦,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
heart-tempo,participant,200,100,29,0.13,26,'-0.06877192982456143,'-0.2772805805317925,0.13973672088266964,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
jack,participant,200,100,160,0.485,97,'-0.05115356509030167,'-0.19114860359535468,0.08884147341475135,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king,participant,200,100,61,0.185,37,'-0.29565217391304355,'-0.45955495707451843,'-0.13174939075156863,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king-anchor,participant,200,100,3,0.015,3,0.16925734024179617,'-0.3688210504950383,0.7073357309786307,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
king-spade,participant,200,100,2,0.01,2,'-0.5051546391752577,'-0.5755095068415012,'-0.4347997715090143,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine,participant,200,100,6,0.03,6,0.10261780104712037,'-0.332603950508788,0.5378395526030287,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine-anchor-discard,participant,200,100,8,0.035,7,'-0.17192982456140354,'-0.5557660443701915,0.21190639524738442,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
nine-tap,participant,200,100,80,0.275,55,'-0.19395698640981657,'-0.34663513916574057,'-0.041278833653892566,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
opponent-attack,participant,200,100,8,0.04,8,0.07407407407407407,'-0.2993910692380695,0.44753921738621766,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
purge-aegis,participant,200,100,3,0.015,3,0.5077720207253886,0.437239895809324,0.5783041456414533,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
purge-anchor-bounce,participant,200,100,7,0.03,6,'-0.25520833333333337,'-0.6854056589704385,0.17498899230377174,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
queen,participant,200,100,4,0.02,4,0,'-0.49506875865832517,0.49506875865832517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
queen-aegis,participant,200,100,44,0.17,34,'-0.1639709983268265,'-0.3451096136606222,0.017167617006969227,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank10,participant,200,100,110,0.375,75,0.055211267605633774,'-0.09014968717694488,0.20057222238821243,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank10-stack-theft,participant,200,100,11,0.055,11,0.14447174447174443,'-0.14878897878429737,0.43773246772778623,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank3-discard,participant,200,100,3,0.015,3,0.16925734024179617,'-0.3688210504950383,0.7073357309786307,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank3-present,participant,200,100,7,0.035,7,0.22222222222222227,'-0.1199413329323733,0.5643857773768178,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank3-take,participant,200,100,6,0.03,6,'-0.3438596491228071,'-0.6504130192266976,'-0.03730627901891659,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank5-rummage,participant,200,100,10,0.045,9,'-0.2606382978723404,'-0.569086351043648,0.04780975529896725,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank6-keep-all-discard,participant,200,100,4,0.02,4,0,'-0.49506875865832517,0.49506875865832517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank6-keep-return-bottom,participant,200,100,20,0.08,16,'-0.12358133669609078,'-0.39778301955729367,0.1506203461651121,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank6-keep-return-top,participant,200,100,8,0.04,8,'-0.3438596491228071,'-0.6504130192266976,'-0.03730627901891659,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
rank7-generated-ace-anchor,participant,200,100,1,0.005,1,'-0.5025641025641026,'-0.5727411478663516,'-0.4323870572618535,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
