mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
three-black-king,participant,200,100,5,0.025,5,'-0.3077720207253886,'-0.6654051608388118,0.049861119388034614,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-purge-aegis,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-black-queen,participant,200,100,5,0.025,5,'-0.3077720207253886,'-0.6654051608388118,0.049861119388034614,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♠,participant,200,100,3,0.015,3,'-0.16923076923076924,'-0.7072617375996502,0.36880019913811174,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♣,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-bounce-♥,participant,200,100,3,0.015,3,0.16923076923076918,'-0.3688001991381118,0.7072617375996502,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-force-discard,participant,200,100,8,0.03,6,0,'-0.40627907120808066,0.40627907120808066,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-hand,participant,200,100,6,0.015,3,0.16923076923076918,'-0.3688001991381118,0.7072617375996502,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-points,participant,200,100,1,0.005,1,0.5025380710659899,0.4327181446255258,0.572357997506454,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-present-take,participant,200,100,8,0.035,7,'-0.17187500000000006,'-0.5556426502567423,0.2118926502567422,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
three-red-counter,participant,200,100,101,0.425,85,0.07260345730749079,'-0.06813891573631828,0.21334583035129986,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
topdeck-seven-♣,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
topdeck-seven-♥,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
topdeck-seven-♦,participant,200,100,2,0.01,2,0.5051020408163265,0.43510697142552446,0.5750971102071285,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
total-clear,participant,200,100,16,0.08,16,'-0.18032786885245905,'-0.42963586709058,0.06898012938566192,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
total-clear-♠,participant,200,100,1,0.005,1,'-0.5025380710659898,'-0.5723579975064539,'-0.4327181446255257,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
two-hold,participant,200,100,6,0.025,5,'-0.3077720207253886,'-0.6654051608388118,0.049861119388034614,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ultra,participant,200,100,213,0.835,167,'-0.018181818181818188,'-0.20498496473799932,0.16862132837436294,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
voltage,participant,200,100,28,0.055,11,0.048128342245989275,'-0.25472449221855176,0.3509811767105303,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
wild-sovereignty,participant,200,100,2,0.01,2,0,'-0.6964784077852811,0.6964784077852811,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
